sequence	16S_rRNA_Count	metadata_NSTI
ASV0864	1	0.167187
ASV0865	1	0.066624
ASV0866	1	0.164439
ASV0867	1	0.335332
ASV0868	1	0.15457200000000001
ASV0869	1	0.183867
ASV0870	1	0.082005
ASV0871	1	0.121128
ASV0872	1	0.062037
ASV0873	1	0.050742
ASV0874	1	0.085743
ASV0875	5	0.039474
ASV0876	5	0.033427
ASV0877	1	0.086743
ASV0878	1	0.647829
ASV0879	1	0.06866599999999999
ASV0880	1	0.088378
ASV0881	1	0.106905
ASV0882	3	0.020934
ASV0883	1	0.236488
ASV0884	1	0.11546400000000001
ASV0885	3	0.133054
ASV0886	1	0.655884
ASV0887	4	0.046182
ASV0888	1	0.100904
ASV0889	1	0.14316099999999998
ASV0890	1	0.00214
ASV0891	1	0.06347799999999999
ASV0892	1	0.013952
ASV0893	1	0.017128
ASV0894	1	0.004176
ASV0895	1	0.072723
ASV0896	6	0.5871930000000001
ASV0897	2	0.07422000000000001
ASV0898	1	0.10356800000000001
ASV0899	1	0.173011
ASV0900	1	0.05597100000000001
ASV0901	1	0.328621
ASV0902	1	0.013488
ASV0903	1	0.415242
ASV0904	1	0.017331
ASV0905	5	0.058849
ASV0906	1	0.039649000000000004
ASV0907	1	0.044812
ASV0908	1	0.039455000000000004
ASV0909	1	0.07269199999999999
ASV0910	1	0.049908
ASV0911	1	0.041027999999999995
ASV0912	1	0.034737
ASV0913	8	0.045938
ASV0914	1	0.044377
ASV0915	1	0.027862
ASV0916	1	0.893808
ASV0917	1	0.310473
ASV0918	1	0.185341
ASV0919	1	0.00847
ASV0920	1	0.216954
ASV0921	1	0.23320100000000002
ASV0922	3	0.091794
ASV0923	1	0.006417
ASV0924	1	0.0042710000000000005
ASV0925	1	0.004039
ASV0926	1	0.430976
ASV0927	1	0.077985
ASV0928	1	0.063913
ASV0929	1	0.019528
ASV0930	1	0.075684
ASV0931	1	0.16794
ASV0932	1	0.037065
ASV0933	1	0.040708999999999995
ASV0934	1	0.050906
ASV0935	1	0.307615
ASV0936	1	0.304033
ASV0937	1	0.06569
ASV0938	1	0.058884000000000006
ASV0939	1	0.072737
ASV0940	1	0.293941
ASV0941	2	0.008975
ASV0942	1	0.217987
ASV0943	1	0.062332000000000005
ASV0944	1	0.136627
ASV0945	1	0.381737
ASV0946	1	0.113506
ASV0947	1	0.616244
ASV0948	2	0.06093200000000001
ASV0949	1	0.5828770000000001
ASV0950	1	0.022772999999999998
ASV0951	1	0.237341
ASV0952	1	0.564664
ASV0953	1	0.34353
ASV0954	1	0.22328299999999998
ASV0955	1	0.05313300000000001
ASV0956	1	0.017353999999999998
ASV0957	1	0.355096
ASV0958	2	0.008978
ASV0959	1	0.428734
ASV0960	1	0.126691
ASV0961	1	0.061898
ASV0962	1	0.2885
ASV0963	1	0.279883
ASV0965	1	0.14855
ASV0966	2	0.041405000000000004
ASV0967	1	0.07561
ASV0968	2	0.03198
ASV0969	2	0.034323
ASV0970	10	13.172481
ASV0971	1	0.080934
ASV0972	1	0.335332
ASV0973	2	0.061273
ASV0974	1	0.618101
ASV0975	6	0.5871930000000001
ASV0976	1	0.07560599999999999
ASV0977	1	0.071016
ASV0978	1	0.122202
ASV0979	5	0.081169
ASV0980	5	0.014699
ASV0981	1	0.746151
ASV0982	1	0.070851
ASV0983	1	0.075388
ASV0984	1	0.060845
ASV0985	1	0.25967399999999996
ASV0986	1	0.526262
ASV0987	1	0.683012
ASV0988	1	0.052154
ASV0989	1	0.069356
ASV0990	1	0.591398
ASV0991	1	0.713353
